Sentiment in Forums,Risk Level Prediction,Word Count,processed_IOCs (Indicators of Compromise),processed_Threat Actor,processed_Attack Vector,processed_Geographical Location,processed_Cleaned Threat Description,processed_Keyword Extraction,processed_Named Entities (NER),processed_Topic Modeling Labels,Threat Category,Severity Score,Suggested Defense Mechanism
0.88,5,24,,lazarus group,web,north korea,malware detected email attachment,,,phishing,DDoS,5,Increase Web Security
0.77,5,37,,,email,north korea,phishing scam targeting corporate account,,service,malware,Ransomware,2,Increase Web Security
0.77,2,44,,unknown,web,global,ransomware attack network vulnerability,,group device,malware,Malware,1,Quarantine
0.64,3,16,,unknown,network,north korea,distributed denial service attack public website,,,ransomware,Malware,1,Increase Web Security
0.61,1,29,,,email,usa,ransomware attack network vulnerability,,,ransomware,Malware,1,Quarantine
0.64,2,41,,lazarus group,email,germany,phishing email malicious link,,service,ddos,Phishing,5,Patch Vulnerability
0.78,2,47,,lazarus group,web,germany,ransomware attack network vulnerability,,,phishing,Malware,4,Increase Web Security
0.51,4,49,,lazarus group,network,russia,phishing email malicious link,,,phishing,Phishing,2,Quarantine
0.95,5,41,,unknown,web,russia,malware detected email attachment,,group device,phishing,Ransomware,3,Increase Web Security
0.58,1,35,,,web,germany,malware detected email attachment,,service,malware,Phishing,4,Increase Web Security
0.61,1,48,,anonymous,web,usa,phishing scam targeting corporate account,,group device,phishing,Ransomware,3,Increase Web Security
0.76,1,29,,unknown,email,global,ransomware attack network vulnerability,,,ddos,Malware,4,Quarantine
0.86,2,27,,lazarus group,email,global,ransomware attack network vulnerability,,,ddos,Malware,1,Monitor for Phishing
0.55,4,24,,,network,usa,phishing email malicious link,,group device,phishing,Ransomware,5,Increase Web Security
0.66,3,31,,lazarus group,network,global,malware detected email attachment,,service,ransomware,DDoS,3,Increase Web Security
0.98,2,31,,anonymous,web,north korea,phishing email malicious link,,,ddos,Ransomware,4,Patch Vulnerability
0.63,3,30,,lazarus group,web,germany,malware detected email attachment,,,ransomware,DDoS,5,Monitor for Phishing
0.66,4,11,,lazarus group,web,germany,phishing email malicious link,,service,malware,Phishing,3,Quarantine
0.92,5,49,,anonymous,network,usa,malware detected email attachment,,group device,ddos,Phishing,2,Patch Vulnerability
0.53,1,27,,,email,global,phishing email malicious link,,,ransomware,Phishing,4,Increase Web Security
0.73,3,32,,unknown,email,russia,malware detected email attachment,,service,phishing,Malware,2,Patch Vulnerability
0.69,2,22,,,web,russia,phishing email malicious link,,,malware,Phishing,1,Patch Vulnerability
0.66,3,18,,anonymous,web,global,ransomware attack network vulnerability,,,phishing,DDoS,2,Increase Web Security
0.64,5,16,,lazarus group,web,russia,phishing scam targeting corporate account,,,phishing,Phishing,2,Monitor for Phishing
0.55,1,10,,,web,usa,phishing email malicious link,,group device,phishing,Ransomware,4,Monitor for Phishing
0.66,3,11,,unknown,network,usa,phishing scam targeting corporate account,,service,malware,Ransomware,1,Patch Vulnerability
0.52,5,13,,anonymous,email,global,ransomware attack network vulnerability,,,malware,Malware,2,Increase Web Security
0.89,2,23,,,web,russia,ransomware attack network vulnerability,,,malware,Ransomware,5,Quarantine
0.7,4,41,,unknown,network,usa,malware detected email attachment,,group device,malware,DDoS,3,Patch Vulnerability
0.72,2,45,,anonymous,web,usa,phishing scam targeting corporate account,,group device,phishing,Phishing,2,Quarantine
0.95,1,11,,unknown,web,north korea,distributed denial service attack public website,,,ransomware,Malware,1,Patch Vulnerability
0.83,2,49,,anonymous,email,north korea,malware detected email attachment,,service,malware,Phishing,2,Patch Vulnerability
0.5,2,23,,lazarus group,web,usa,phishing scam targeting corporate account,,service,ransomware,Phishing,3,Increase Web Security
0.97,2,29,,,email,global,phishing email malicious link,,,malware,DDoS,1,Increase Web Security
0.62,2,34,,unknown,email,germany,phishing email malicious link,,,ddos,Ransomware,4,Quarantine
0.55,1,17,,anonymous,email,germany,ransomware attack network vulnerability,,,ddos,Ransomware,1,Quarantine
0.88,5,37,,unknown,network,usa,distributed denial service attack public website,,,ddos,Phishing,4,Monitor for Phishing
0.75,3,30,,unknown,network,usa,phishing email malicious link,,,malware,Malware,1,Increase Web Security
0.72,4,32,,,email,usa,phishing scam targeting corporate account,,,ransomware,Ransomware,3,Patch Vulnerability
0.62,3,41,,lazarus group,web,global,phishing scam targeting corporate account,,,phishing,Malware,3,Patch Vulnerability
0.77,3,17,,unknown,email,north korea,phishing email malicious link,,,phishing,Ransomware,1,Monitor for Phishing
0.64,4,40,,anonymous,web,usa,phishing scam targeting corporate account,,service,phishing,Malware,2,Increase Web Security
0.95,1,46,,anonymous,email,usa,phishing scam targeting corporate account,,,malware,DDoS,3,Patch Vulnerability
0.61,4,25,,lazarus group,web,russia,ransomware attack network vulnerability,,,ddos,Malware,4,Monitor for Phishing
0.94,1,49,,anonymous,network,global,distributed denial service attack public website,,,ddos,DDoS,4,Monitor for Phishing
0.78,3,36,,lazarus group,web,usa,ransomware attack network vulnerability,,,ransomware,DDoS,5,Patch Vulnerability
0.91,1,49,,anonymous,email,russia,distributed denial service attack public website,,group device,malware,Malware,4,Patch Vulnerability
0.86,5,27,,,network,germany,phishing scam targeting corporate account,,,phishing,DDoS,5,Quarantine
0.85,4,44,,unknown,web,usa,distributed denial service attack public website,,service,malware,Phishing,1,Increase Web Security
0.66,5,24,,,web,usa,phishing scam targeting corporate account,,group device,malware,DDoS,1,Quarantine
0.62,3,36,,unknown,web,russia,phishing scam targeting corporate account,,group device,ddos,Ransomware,1,Monitor for Phishing
0.61,4,26,,unknown,web,global,ransomware attack network vulnerability,,,phishing,Malware,2,Patch Vulnerability
0.93,3,49,,unknown,web,usa,ransomware attack network vulnerability,,,phishing,Phishing,2,Quarantine
0.91,5,11,,,network,germany,malware detected email attachment,,,ddos,Malware,5,Monitor for Phishing
0.72,3,40,,unknown,network,usa,phishing email malicious link,,,phishing,Ransomware,4,Increase Web Security
0.57,4,46,,,network,germany,malware detected email attachment,,,ransomware,Ransomware,4,Patch Vulnerability
0.69,4,43,,lazarus group,network,north korea,malware detected email attachment,,group device,ddos,Ransomware,1,Quarantine
0.81,3,43,,anonymous,email,north korea,distributed denial service attack public website,,group device,ransomware,DDoS,3,Increase Web Security
0.73,4,12,,anonymous,network,germany,phishing scam targeting corporate account,,group device,ddos,DDoS,2,Quarantine
0.89,4,26,,unknown,web,global,phishing scam targeting corporate account,,service,malware,Malware,2,Monitor for Phishing
1.0,3,23,,,web,usa,phishing scam targeting corporate account,,service,phishing,Malware,1,Increase Web Security
0.6,5,23,,anonymous,network,usa,phishing email malicious link,,,ransomware,Phishing,2,Quarantine
0.73,4,47,,,web,north korea,distributed denial service attack public website,,group device,ddos,Phishing,1,Increase Web Security
0.72,4,44,,,network,germany,distributed denial service attack public website,,,ransomware,Malware,5,Monitor for Phishing
0.65,4,10,,unknown,web,usa,phishing scam targeting corporate account,,group device,ddos,DDoS,4,Increase Web Security
0.6,4,38,,anonymous,email,usa,malware detected email attachment,,service,ddos,Ransomware,3,Quarantine
0.53,3,13,,unknown,email,global,phishing email malicious link,,group device,phishing,Malware,4,Monitor for Phishing
0.94,5,42,,unknown,network,russia,malware detected email attachment,,service,phishing,Phishing,4,Patch Vulnerability
0.71,5,26,,anonymous,network,north korea,ransomware attack network vulnerability,,group device,phishing,DDoS,5,Quarantine
0.75,1,37,,anonymous,network,north korea,distributed denial service attack public website,,,ransomware,Malware,2,Quarantine
0.96,4,35,,lazarus group,web,russia,distributed denial service attack public website,,,malware,Malware,3,Monitor for Phishing
0.89,4,17,,lazarus group,network,usa,malware detected email attachment,,,ddos,DDoS,2,Monitor for Phishing
0.57,1,43,,,email,global,phishing email malicious link,,service,phishing,Malware,4,Patch Vulnerability
0.78,5,27,,anonymous,web,global,distributed denial service attack public website,,,phishing,DDoS,1,Quarantine
0.72,2,40,,lazarus group,network,north korea,malware detected email attachment,,,ransomware,Ransomware,4,Monitor for Phishing
0.9,2,36,,,web,global,phishing email malicious link,,group device,ransomware,DDoS,2,Patch Vulnerability
0.86,5,25,,,web,russia,malware detected email attachment,,,ransomware,DDoS,4,Patch Vulnerability
0.85,4,19,,,network,usa,phishing email malicious link,,group device,phishing,DDoS,1,Monitor for Phishing
0.67,2,49,,lazarus group,web,russia,phishing scam targeting corporate account,,group device,phishing,Malware,5,Quarantine
0.9,3,21,,anonymous,email,germany,phishing email malicious link,,,phishing,Malware,2,Increase Web Security
0.53,3,31,,unknown,email,north korea,ransomware attack network vulnerability,,,phishing,DDoS,4,Increase Web Security
0.58,1,25,,,web,global,phishing scam targeting corporate account,,,phishing,Malware,2,Patch Vulnerability
0.67,5,21,,lazarus group,network,germany,malware detected email attachment,,group device,phishing,Phishing,5,Increase Web Security
0.54,5,20,,lazarus group,web,global,phishing scam targeting corporate account,,,phishing,Phishing,4,Increase Web Security
0.62,2,29,,unknown,email,usa,phishing scam targeting corporate account,,,phishing,Malware,4,Monitor for Phishing
0.92,4,10,,unknown,web,usa,malware detected email attachment,,group device,phishing,Malware,2,Patch Vulnerability
0.97,5,36,,lazarus group,web,usa,malware detected email attachment,,,ddos,DDoS,2,Quarantine
0.65,2,12,,anonymous,email,global,ransomware attack network vulnerability,,,phishing,Ransomware,1,Patch Vulnerability
0.63,2,21,,unknown,web,germany,malware detected email attachment,,group device,ddos,Malware,5,Monitor for Phishing
0.64,5,39,,lazarus group,web,usa,distributed denial service attack public website,,group device,ransomware,Phishing,1,Increase Web Security
0.64,2,18,,unknown,network,germany,distributed denial service attack public website,,,ransomware,DDoS,4,Quarantine
0.52,1,46,,anonymous,network,global,ransomware attack network vulnerability,,group device,phishing,Malware,2,Patch Vulnerability
0.96,1,10,,,email,germany,phishing email malicious link,,,ddos,Phishing,4,Increase Web Security
0.61,5,13,,unknown,email,global,phishing email malicious link,,group device,ddos,Phishing,4,Patch Vulnerability
0.71,4,24,,anonymous,email,global,distributed denial service attack public website,,service,ddos,Ransomware,3,Quarantine
0.5,1,36,,lazarus group,network,north korea,malware detected email attachment,,,ransomware,DDoS,3,Patch Vulnerability
0.93,1,17,,unknown,email,global,ransomware attack network vulnerability,,,phishing,DDoS,4,Patch Vulnerability
0.87,5,32,,unknown,email,global,phishing email malicious link,,,malware,Ransomware,2,Patch Vulnerability
0.97,3,24,,lazarus group,email,russia,phishing email malicious link,,service,ddos,Ransomware,4,Increase Web Security
0.89,2,36,,,network,usa,phishing scam targeting corporate account,,service,ddos,DDoS,3,Quarantine
0.66,1,40,,lazarus group,web,north korea,distributed denial service attack public website,,group device,malware,DDoS,2,Quarantine
0.62,3,48,,unknown,email,north korea,malware detected email attachment,,group device,phishing,Malware,4,Increase Web Security
0.85,4,17,,lazarus group,web,north korea,ransomware attack network vulnerability,,,ddos,Malware,5,Increase Web Security
0.68,3,39,,anonymous,email,russia,phishing email malicious link,,,phishing,Ransomware,5,Increase Web Security
0.78,5,27,,lazarus group,web,global,phishing scam targeting corporate account,,,ddos,Malware,4,Monitor for Phishing
0.5,4,13,,unknown,network,usa,distributed denial service attack public website,,service,phishing,Phishing,2,Patch Vulnerability
0.53,4,31,,lazarus group,network,germany,distributed denial service attack public website,,group device,ddos,Malware,4,Patch Vulnerability
0.77,3,12,,,email,global,ransomware attack network vulnerability,,group device,phishing,Malware,4,Quarantine
0.78,5,24,,lazarus group,web,russia,phishing email malicious link,,group device,phishing,Phishing,3,Patch Vulnerability
0.88,1,44,,,network,global,ransomware attack network vulnerability,,,ddos,Ransomware,5,Monitor for Phishing
0.57,3,47,,anonymous,email,global,ransomware attack network vulnerability,,service,ransomware,Phishing,3,Increase Web Security
0.76,1,42,,,email,russia,phishing scam targeting corporate account,,group device,ransomware,Malware,3,Quarantine
0.6,3,23,,lazarus group,network,north korea,distributed denial service attack public website,,service,malware,Ransomware,4,Quarantine
0.55,1,10,,unknown,network,north korea,malware detected email attachment,,group device,ransomware,Malware,3,Patch Vulnerability
0.71,3,35,,,email,usa,distributed denial service attack public website,,,phishing,Phishing,5,Quarantine
0.58,4,17,,anonymous,web,usa,distributed denial service attack public website,,service,ransomware,Phishing,3,Increase Web Security
0.61,2,25,,,web,north korea,phishing scam targeting corporate account,,,ransomware,Malware,5,Quarantine
0.66,4,47,,,web,germany,malware detected email attachment,,,ransomware,DDoS,3,Increase Web Security
0.63,1,19,,,email,global,phishing email malicious link,,,ddos,DDoS,5,Monitor for Phishing
0.54,5,46,,anonymous,network,germany,malware detected email attachment,,service,malware,Phishing,3,Monitor for Phishing
0.54,4,35,,lazarus group,email,global,phishing email malicious link,,group device,phishing,Phishing,3,Increase Web Security
0.6,2,37,,,network,north korea,malware detected email attachment,,service,malware,DDoS,2,Patch Vulnerability
0.53,1,21,,,web,usa,ransomware attack network vulnerability,,,phishing,DDoS,5,Quarantine
0.81,4,29,,unknown,web,usa,malware detected email attachment,,service,ddos,Malware,5,Patch Vulnerability
0.64,3,23,,anonymous,network,germany,phishing scam targeting corporate account,,group device,ddos,Malware,5,Quarantine
0.64,5,44,,,network,usa,phishing email malicious link,,,ransomware,DDoS,1,Monitor for Phishing
0.67,1,38,,anonymous,email,north korea,distributed denial service attack public website,,,ransomware,Malware,3,Monitor for Phishing
0.83,4,21,,,web,germany,phishing scam targeting corporate account,,,phishing,Malware,5,Monitor for Phishing
0.94,1,27,,lazarus group,email,global,phishing email malicious link,,group device,ddos,Ransomware,1,Quarantine
0.88,3,11,,lazarus group,email,usa,phishing email malicious link,,group device,phishing,Malware,2,Monitor for Phishing
0.86,2,11,,,email,russia,distributed denial service attack public website,,,malware,Phishing,5,Monitor for Phishing
0.74,4,26,,lazarus group,web,usa,ransomware attack network vulnerability,,service,ddos,Malware,5,Monitor for Phishing
0.85,1,19,,,email,global,phishing scam targeting corporate account,,service,phishing,Malware,1,Monitor for Phishing
0.78,1,27,,lazarus group,email,germany,distributed denial service attack public website,,,phishing,DDoS,3,Patch Vulnerability
0.61,1,31,,unknown,email,global,distributed denial service attack public website,,,malware,Phishing,2,Monitor for Phishing
0.6,2,28,,unknown,email,russia,ransomware attack network vulnerability,,,phishing,Malware,5,Monitor for Phishing
0.65,1,10,,unknown,email,north korea,phishing scam targeting corporate account,,,phishing,Malware,3,Patch Vulnerability
0.96,5,33,,anonymous,email,usa,distributed denial service attack public website,,group device,phishing,Ransomware,2,Patch Vulnerability
0.77,5,45,,anonymous,web,germany,ransomware attack network vulnerability,,,phishing,Malware,4,Quarantine
0.87,1,34,,unknown,email,north korea,phishing scam targeting corporate account,,service,phishing,Malware,4,Increase Web Security
0.67,5,45,,anonymous,network,global,malware detected email attachment,,group device,ransomware,Ransomware,2,Monitor for Phishing
0.7,4,40,,lazarus group,email,germany,phishing email malicious link,,,phishing,DDoS,1,Monitor for Phishing
0.56,5,40,,,email,north korea,ransomware attack network vulnerability,,,phishing,Malware,2,Monitor for Phishing
0.59,1,11,,,web,germany,phishing email malicious link,,service,phishing,Ransomware,2,Quarantine
0.91,3,28,,,web,russia,malware detected email attachment,,,phishing,Phishing,1,Monitor for Phishing
0.79,4,21,,unknown,network,russia,distributed denial service attack public website,,,phishing,DDoS,1,Increase Web Security
0.67,2,19,,anonymous,network,usa,distributed denial service attack public website,,service,phishing,Phishing,3,Patch Vulnerability
0.9,1,40,,lazarus group,web,usa,phishing scam targeting corporate account,,service,phishing,Phishing,3,Quarantine
0.62,2,31,,lazarus group,web,russia,ransomware attack network vulnerability,,,malware,Ransomware,1,Patch Vulnerability
0.99,3,32,,unknown,email,germany,ransomware attack network vulnerability,,,malware,Malware,4,Monitor for Phishing
0.67,2,32,,lazarus group,web,russia,phishing scam targeting corporate account,,,phishing,Ransomware,4,Monitor for Phishing
0.67,1,24,,lazarus group,network,usa,phishing email malicious link,,,ransomware,Ransomware,2,Monitor for Phishing
0.66,1,35,,lazarus group,email,russia,distributed denial service attack public website,,,malware,Ransomware,5,Increase Web Security
0.56,3,12,,lazarus group,network,russia,distributed denial service attack public website,,,ddos,Ransomware,2,Increase Web Security
0.56,1,32,,anonymous,email,germany,ransomware attack network vulnerability,,service,malware,DDoS,2,Quarantine
0.82,3,29,,lazarus group,web,north korea,ransomware attack network vulnerability,,,ddos,Malware,5,Patch Vulnerability
0.94,3,49,,,network,usa,phishing scam targeting corporate account,,service,phishing,Phishing,1,Monitor for Phishing
0.9,1,48,,unknown,email,germany,malware detected email attachment,,group device,ransomware,Phishing,4,Monitor for Phishing
0.57,5,17,,anonymous,email,russia,phishing email malicious link,,group device,ddos,Malware,2,Monitor for Phishing
0.77,3,27,,lazarus group,web,russia,malware detected email attachment,,,ddos,Phishing,5,Monitor for Phishing
0.55,1,15,,anonymous,web,north korea,malware detected email attachment,,service,malware,Malware,3,Increase Web Security
0.52,5,36,,lazarus group,web,usa,ransomware attack network vulnerability,,group device,ddos,Phishing,2,Patch Vulnerability
0.83,3,45,,,network,usa,ransomware attack network vulnerability,,,phishing,Ransomware,4,Patch Vulnerability
0.77,5,24,,unknown,email,global,ransomware attack network vulnerability,,service,phishing,Phishing,1,Quarantine
0.54,4,46,,lazarus group,web,usa,malware detected email attachment,,,phishing,Malware,2,Increase Web Security
0.52,4,14,,lazarus group,network,north korea,phishing email malicious link,,service,malware,Malware,2,Monitor for Phishing
0.99,5,48,,lazarus group,network,global,ransomware attack network vulnerability,,group device,ransomware,Malware,5,Patch Vulnerability
0.52,3,18,,lazarus group,network,global,distributed denial service attack public website,,,malware,Malware,3,Patch Vulnerability
0.72,1,16,,unknown,web,russia,phishing email malicious link,,group device,phishing,Malware,3,Increase Web Security
0.75,2,29,,unknown,web,russia,distributed denial service attack public website,,,malware,DDoS,1,Quarantine
0.56,1,19,,,email,usa,phishing email malicious link,,,phishing,DDoS,4,Quarantine
0.58,2,35,,unknown,email,global,ransomware attack network vulnerability,,group device,phishing,Phishing,1,Monitor for Phishing
0.68,2,13,,lazarus group,web,russia,phishing scam targeting corporate account,,group device,phishing,Malware,2,Quarantine
0.88,3,47,,,network,north korea,ransomware attack network vulnerability,,,ddos,Phishing,2,Patch Vulnerability
0.75,5,33,,,network,russia,malware detected email attachment,,group device,ransomware,Malware,3,Quarantine
0.82,1,23,,,network,russia,malware detected email attachment,,service,phishing,Malware,4,Monitor for Phishing
0.99,5,10,,lazarus group,email,global,phishing email malicious link,,,phishing,DDoS,5,Patch Vulnerability
0.88,4,26,,anonymous,network,global,malware detected email attachment,,,malware,DDoS,4,Quarantine
0.72,3,33,,lazarus group,email,germany,ransomware attack network vulnerability,,service,malware,Ransomware,2,Quarantine
0.72,3,36,,unknown,email,north korea,distributed denial service attack public website,,service,ddos,DDoS,5,Increase Web Security
0.81,4,16,,unknown,network,global,ransomware attack network vulnerability,,service,malware,Ransomware,4,Monitor for Phishing
0.83,1,18,,lazarus group,network,usa,phishing email malicious link,,service,phishing,Ransomware,4,Quarantine
0.75,4,44,,lazarus group,web,north korea,malware detected email attachment,,,malware,Ransomware,5,Increase Web Security
0.82,1,21,,,web,north korea,distributed denial service attack public website,,,phishing,Ransomware,2,Patch Vulnerability
0.51,2,30,,lazarus group,network,global,phishing scam targeting corporate account,,group device,phishing,Ransomware,4,Increase Web Security
0.71,3,12,,,email,north korea,distributed denial service attack public website,,service,ransomware,Phishing,5,Increase Web Security
0.64,1,24,,unknown,email,global,distributed denial service attack public website,,group device,ddos,DDoS,2,Quarantine
0.56,5,30,,,email,russia,ransomware attack network vulnerability,,group device,phishing,Ransomware,5,Quarantine
0.55,5,19,,lazarus group,email,germany,phishing scam targeting corporate account,,service,phishing,Malware,5,Quarantine
0.8,3,42,,unknown,email,russia,phishing email malicious link,,,ddos,DDoS,4,Increase Web Security
0.76,4,15,,anonymous,web,global,phishing email malicious link,,group device,phishing,DDoS,2,Patch Vulnerability
0.63,4,11,,,network,global,distributed denial service attack public website,,,malware,Ransomware,4,Monitor for Phishing
0.74,1,38,,unknown,web,russia,distributed denial service attack public website,,group device,ddos,Phishing,1,Increase Web Security
0.75,4,49,,,email,usa,malware detected email attachment,,service,ddos,Ransomware,1,Quarantine
0.6,3,42,,unknown,email,usa,phishing scam targeting corporate account,,,ddos,Phishing,2,Monitor for Phishing
0.83,1,13,,unknown,email,usa,distributed denial service attack public website,,group device,malware,Malware,5,Patch Vulnerability
0.89,2,13,,,email,global,malware detected email attachment,,,malware,DDoS,4,Monitor for Phishing
0.9,4,38,,anonymous,network,north korea,phishing scam targeting corporate account,,,ddos,Malware,4,Quarantine
0.8,4,46,,unknown,email,global,phishing email malicious link,,,ransomware,Phishing,2,Increase Web Security
0.76,1,29,,unknown,network,north korea,malware detected email attachment,,,phishing,Phishing,2,Increase Web Security
0.53,5,32,,unknown,email,russia,phishing scam targeting corporate account,,,malware,Malware,1,Quarantine
0.64,4,27,,anonymous,network,germany,malware detected email attachment,,group device,ransomware,Phishing,3,Increase Web Security
0.55,3,34,,anonymous,web,north korea,distributed denial service attack public website,,service,malware,Malware,2,Quarantine
0.98,4,10,,lazarus group,email,usa,ransomware attack network vulnerability,,,ddos,DDoS,3,Increase Web Security
0.57,2,24,,,network,global,phishing email malicious link,,,ransomware,Malware,2,Increase Web Security
0.58,4,43,,anonymous,web,russia,distributed denial service attack public website,,,phishing,DDoS,5,Increase Web Security
0.94,5,29,,,email,usa,distributed denial service attack public website,,,phishing,Malware,5,Patch Vulnerability
0.97,4,46,,lazarus group,email,russia,phishing scam targeting corporate account,,service,phishing,Phishing,1,Patch Vulnerability
0.88,1,36,,,email,germany,malware detected email attachment,,,malware,Malware,1,Quarantine
0.5,4,31,,anonymous,network,global,phishing email malicious link,,,phishing,Phishing,3,Patch Vulnerability
0.5,5,14,,,network,global,distributed denial service attack public website,,service,phishing,Malware,2,Quarantine
0.69,1,43,,anonymous,web,germany,phishing scam targeting corporate account,,,ransomware,Malware,4,Monitor for Phishing
0.57,3,48,,,network,global,phishing email malicious link,,service,ransomware,Ransomware,1,Monitor for Phishing
0.51,1,12,,anonymous,network,north korea,malware detected email attachment,,,ddos,Phishing,4,Patch Vulnerability
0.73,2,26,,anonymous,email,russia,distributed denial service attack public website,,group device,ransomware,Ransomware,4,Monitor for Phishing
0.97,1,33,,,email,usa,distributed denial service attack public website,,service,malware,Phishing,2,Monitor for Phishing
0.66,3,33,,lazarus group,email,germany,distributed denial service attack public website,,,phishing,Ransomware,3,Increase Web Security
0.83,4,12,,unknown,email,north korea,phishing email malicious link,,group device,ddos,DDoS,2,Increase Web Security
0.83,1,16,,lazarus group,email,usa,phishing email malicious link,,,malware,Malware,1,Quarantine
0.63,1,34,,,email,usa,phishing email malicious link,,,malware,Phishing,4,Monitor for Phishing
0.83,1,12,,lazarus group,email,germany,phishing email malicious link,,,malware,Phishing,2,Quarantine
0.61,1,24,,anonymous,web,north korea,phishing scam targeting corporate account,,group device,phishing,Malware,2,Quarantine
0.56,3,38,,unknown,web,usa,ransomware attack network vulnerability,,service,malware,Phishing,2,Monitor for Phishing
0.85,5,38,,,web,usa,phishing scam targeting corporate account,,,phishing,Phishing,1,Patch Vulnerability
0.56,5,19,,,web,north korea,distributed denial service attack public website,,,ransomware,Ransomware,3,Monitor for Phishing
1.0,1,41,,,email,global,phishing scam targeting corporate account,,,phishing,Phishing,2,Increase Web Security
0.59,3,32,,unknown,web,usa,malware detected email attachment,,,malware,DDoS,1,Monitor for Phishing
0.8,3,48,,anonymous,email,russia,phishing email malicious link,,,phishing,DDoS,4,Patch Vulnerability
0.71,1,18,,,web,north korea,malware detected email attachment,,service,phishing,Malware,5,Quarantine
0.56,2,46,,lazarus group,network,usa,malware detected email attachment,,,ransomware,Phishing,1,Quarantine
0.51,1,49,,,web,germany,distributed denial service attack public website,,group device,malware,Malware,5,Increase Web Security
0.81,2,23,,,web,russia,phishing email malicious link,,group device,phishing,DDoS,2,Increase Web Security
0.9,1,13,,,email,usa,malware detected email attachment,,group device,phishing,Phishing,2,Increase Web Security
0.92,2,29,,,web,russia,distributed denial service attack public website,,,ddos,Phishing,1,Quarantine
0.74,2,37,,anonymous,network,russia,phishing email malicious link,,,malware,Malware,5,Increase Web Security
0.89,1,23,,lazarus group,email,global,ransomware attack network vulnerability,,group device,malware,DDoS,2,Monitor for Phishing
0.84,2,43,,anonymous,email,russia,distributed denial service attack public website,,,ddos,Phishing,4,Quarantine
0.86,4,22,,lazarus group,web,global,phishing scam targeting corporate account,,,phishing,Malware,3,Patch Vulnerability
0.75,5,40,,,email,north korea,phishing email malicious link,,,ddos,DDoS,3,Quarantine
0.82,3,42,,unknown,email,global,malware detected email attachment,,service,ransomware,Malware,2,Monitor for Phishing
0.9,2,48,,anonymous,email,germany,malware detected email attachment,,group device,phishing,Ransomware,5,Monitor for Phishing
0.7,2,37,,unknown,email,usa,phishing scam targeting corporate account,,service,phishing,Phishing,2,Increase Web Security
0.9,3,34,,anonymous,email,north korea,phishing scam targeting corporate account,,group device,phishing,Ransomware,5,Quarantine
0.8,2,41,,,email,north korea,malware detected email attachment,,,ddos,DDoS,4,Quarantine
0.58,3,18,,anonymous,network,germany,phishing email malicious link,,,malware,Ransomware,5,Quarantine
0.51,1,37,,,web,global,distributed denial service attack public website,,,malware,Ransomware,2,Patch Vulnerability
0.68,4,40,,anonymous,network,usa,phishing scam targeting corporate account,,,malware,DDoS,4,Increase Web Security
0.77,4,26,,,email,global,phishing scam targeting corporate account,,,ransomware,Malware,1,Monitor for Phishing
0.92,5,32,,,email,russia,phishing scam targeting corporate account,,,ransomware,Ransomware,3,Monitor for Phishing
0.56,2,22,,lazarus group,web,global,ransomware attack network vulnerability,,,malware,Malware,2,Increase Web Security
0.9,5,19,,,network,north korea,phishing email malicious link,,,phishing,Ransomware,2,Monitor for Phishing
0.93,1,25,,lazarus group,web,usa,phishing email malicious link,,service,ransomware,Malware,2,Monitor for Phishing
0.58,4,15,,,network,global,phishing email malicious link,,,ransomware,DDoS,4,Increase Web Security
0.93,1,20,,unknown,email,usa,phishing email malicious link,,,phishing,Ransomware,1,Monitor for Phishing
1.0,1,12,,,web,usa,phishing email malicious link,,,phishing,DDoS,5,Quarantine
0.86,2,37,,unknown,web,russia,malware detected email attachment,,,phishing,Ransomware,1,Patch Vulnerability
0.89,1,24,,unknown,email,russia,phishing scam targeting corporate account,,service,ransomware,DDoS,4,Increase Web Security
1.0,4,22,,,web,north korea,malware detected email attachment,,,ransomware,DDoS,2,Patch Vulnerability
0.8,5,26,,unknown,network,germany,ransomware attack network vulnerability,,,ddos,Ransomware,3,Monitor for Phishing
0.65,4,16,,lazarus group,network,usa,distributed denial service attack public website,,group device,phishing,Ransomware,2,Monitor for Phishing
0.92,2,37,,anonymous,network,germany,phishing scam targeting corporate account,,service,phishing,Ransomware,5,Quarantine
0.81,4,47,,,network,north korea,ransomware attack network vulnerability,,group device,ddos,Phishing,3,Increase Web Security
0.79,3,22,,unknown,email,usa,malware detected email attachment,,,ddos,Malware,2,Monitor for Phishing
0.63,5,26,,,web,usa,distributed denial service attack public website,,,phishing,Phishing,3,Increase Web Security
0.88,3,24,,lazarus group,network,germany,ransomware attack network vulnerability,,group device,phishing,Phishing,1,Increase Web Security
0.54,3,45,,,email,global,distributed denial service attack public website,,service,phishing,DDoS,4,Increase Web Security
0.96,2,37,,,web,russia,ransomware attack network vulnerability,,group device,ddos,Ransomware,2,Increase Web Security
0.66,1,24,,unknown,web,global,malware detected email attachment,,service,malware,Malware,5,Increase Web Security
0.56,3,20,,lazarus group,email,germany,distributed denial service attack public website,,service,malware,DDoS,1,Patch Vulnerability
0.72,4,40,,anonymous,email,russia,ransomware attack network vulnerability,,,phishing,Phishing,2,Quarantine
0.52,1,13,,anonymous,network,global,malware detected email attachment,,,malware,Ransomware,1,Increase Web Security
0.84,4,44,,unknown,web,russia,phishing scam targeting corporate account,,,malware,DDoS,5,Patch Vulnerability
0.95,4,43,,,web,usa,malware detected email attachment,,,malware,Ransomware,2,Monitor for Phishing
